1745724182248;sacar;1020;500;PENDENTE
1745724182248;depositar;1020;1050;PENDENTE
1745724182474;depositar;1001;500;PENDENTE
1745724182626;sacar;1001;200;PENDENTE
1745724182769;depositar;1002;800;PENDENTE
1745724182917;sacar;1002;100;PENDENTE
1745724185445;sacar;1010;150;PENDENTE
1745724185449;depositar;1010;400;PENDENTE
1745724185568;depositar;1011;500;PENDENTE
1745724185746;sacar;1011;100;PENDENTE
1745724185974;depositar;1012;600;PENDENTE
1745724186021;sacar;1012;200;PENDENTE
1745724188660;sacar;1020;500;PENDENTE
1745724188662;depositar;1020;1050;PENDENTE
1745724188729;depositar;1001;500;PENDENTE
1745724188864;sacar;1001;200;PENDENTE
1745724189180;depositar;1002;800;PENDENTE
1745724189216;sacar;1002;100;PENDENTE
1745724192056;sacar;1010;150;PENDENTE
1745724192056;depositar;1010;400;PENDENTE
1745724192085;depositar;1011;500;PENDENTE
1745724192321;sacar;1011;100;PENDENTE
1745724192572;sacar;1012;200;PENDENTE
1745724192573;depositar;1012;600;PENDENTE
