1745523995544;depositar;1001;500;PENDENTE
1745523996053;sacar;1001;200;PENDENTE
1745523996573;saldo;1001;;PENDENTE
1745523997084;depositar;1002;800;PENDENTE
1745523997599;sacar;1002;100;PENDENTE
1745523998113;saldo;1002;;PENDENTE
1745524004640;depositar;1010;400;PENDENTE
1745524005157;sacar;1010;150;PENDENTE
1745524005672;depositar;1011;500;PENDENTE
1745524006172;saldo;1010;;PENDENTE
1745524006675;depositar;1012;600;PENDENTE
1745524007176;saldo;1011;;PENDENTE
1745524007676;sacar;1011;100;PENDENTE
1745524008177;saldo;1012;;PENDENTE
1745524008678;sacar;1012;200;PENDENTE
1745524013805;depositar;1020;1050;PENDENTE
1745524014312;sacar;1020;500;PENDENTE
1745524014823;depositar;1001;500;PENDENTE
1745524015334;saldo;1020;;PENDENTE
1745524015838;depositar;1002;800;PENDENTE
1745524016344;saldo;1001;;PENDENTE
1745524016848;sacar;1001;200;PENDENTE
1745524017350;saldo;1002;;PENDENTE
1745524017855;sacar;1002;100;PENDENTE
1745524022958;depositar;1010;400;PENDENTE
1745524023470;sacar;1010;150;PENDENTE
1745524023976;depositar;1011;500;PENDENTE
1745524024488;saldo;1010;;PENDENTE
1745524025002;depositar;1012;600;PENDENTE
1745524025504;saldo;1011;;PENDENTE
1745524026006;sacar;1011;100;PENDENTE
1745524026511;saldo;1012;;PENDENTE
1745524027013;sacar;1012;200;PENDENTE
1745524032114;depositar;1020;1050;PENDENTE
1745524032616;sacar;1020;500;PENDENTE
1745524033127;depositar;1001;500;PENDENTE
1745524033628;saldo;1020;;PENDENTE
1745524034141;depositar;1002;800;PENDENTE
1745524034642;saldo;1001;;PENDENTE
1745524035156;sacar;1001;200;PENDENTE
1745524035656;saldo;1002;;PENDENTE
1745524036156;sacar;1002;100;PENDENTE
1745524041263;depositar;1010;400;PENDENTE
1745524041777;sacar;1010;150;PENDENTE
1745524042292;depositar;1011;500;PENDENTE
1745524042806;saldo;1010;;PENDENTE
1745524043309;depositar;1012;600;PENDENTE
1745524043823;saldo;1011;;PENDENTE
1745524044337;sacar;1011;100;PENDENTE
1745524044853;saldo;1012;;PENDENTE
1745524045355;sacar;1012;200;PENDENTE
