1745523998024;depositar;1003;300;PENDENTE
1745523998533;sacar;1003;50;PENDENTE
1745523999046;depositar;1004;1000;PENDENTE
1745523999560;saldo;1003;;PENDENTE
1745524000073;depositar;1005;600;PENDENTE
1745524000575;saldo;1004;;PENDENTE
1745524001093;sacar;1004;200;PENDENTE
1745524001609;saldo;1005;;PENDENTE
1745524002109;sacar;1005;150;PENDENTE
1745524007191;depositar;1013;700;PENDENTE
1745524007692;sacar;1013;300;PENDENTE
1745524008194;depositar;1014;800;PENDENTE
1745524008709;saldo;1013;;PENDENTE
1745524009210;depositar;1015;900;PENDENTE
1745524009711;saldo;1014;;PENDENTE
1745524010212;sacar;1014;400;PENDENTE
1745524010712;saldo;1015;;PENDENTE
1745524011227;sacar;1015;500;PENDENTE
1745524016359;depositar;1003;300;PENDENTE
1745524016864;sacar;1003;50;PENDENTE
1745524017368;depositar;1004;1000;PENDENTE
1745524017871;saldo;1003;;PENDENTE
1745524018373;depositar;1005;600;PENDENTE
1745524018876;saldo;1004;;PENDENTE
1745524019382;sacar;1004;200;PENDENTE
1745524019896;saldo;1005;;PENDENTE
1745524020408;sacar;1005;150;PENDENTE
1745524025520;depositar;1013;700;PENDENTE
1745524026023;sacar;1013;300;PENDENTE
1745524026526;depositar;1014;800;PENDENTE
1745524027029;saldo;1013;;PENDENTE
1745524027529;depositar;1015;900;PENDENTE
1745524028029;saldo;1014;;PENDENTE
1745524028542;sacar;1014;400;PENDENTE
1745524029043;saldo;1015;;PENDENTE
1745524029546;sacar;1015;500;PENDENTE
1745524034657;depositar;1003;300;PENDENTE
1745524035172;sacar;1003;50;PENDENTE
1745524035672;depositar;1004;1000;PENDENTE
1745524036173;saldo;1003;;PENDENTE
1745524036677;depositar;1005;600;PENDENTE
1745524037179;saldo;1004;;PENDENTE
1745524037681;sacar;1004;200;PENDENTE
1745524038195;saldo;1005;;PENDENTE
1745524038707;sacar;1005;150;PENDENTE
1745524043823;depositar;1013;700;PENDENTE
1745524044337;saldo;1013;;PENDENTE
1745524044839;sacar;1013;300;PENDENTE
1745524045355;depositar;1014;800;PENDENTE
1745524045868;sacar;1014;400;PENDENTE
1745524046382;sacar;1015;500;PENDENTE
1745524046895;depositar;1015;900;PENDENTE
1745524047409;saldo;1014;;PENDENTE
1745524047909;saldo;1015;;PENDENTE
