depositar;1000;923
sacar;1000;208
sacar;1000;113
saldo;1000
depositar;1001;776
sacar;1001;241
sacar;1001;271
saldo;1001
depositar;1002;549
sacar;1002;91
saldo;1002
depositar;1003;724
saldo;1003
depositar;1004;672
sacar;1004;179
saldo;1004
depositar;1005;543
saldo;1005
depositar;1006;661
sacar;1006;176
saldo;1006
depositar;1007;704
sacar;1007;272
saldo;1007
depositar;1008;924
saldo;1008
depositar;1009;604
sacar;1009;199
sacar;1009;264
saldo;1009
depositar;1010;324
sacar;1010;60
saldo;1010
depositar;1011;680
saldo;1011
depositar;1012;731
sacar;1012;173
sacar;1012;259
saldo;1012
depositar;1013;579
saldo;1013
depositar;1014;751
sacar;1014;299
sacar;1014;213
saldo;1014
depositar;1015;244
sacar;1015;110
sacar;1015;291
saldo;1015
depositar;1016;730
sacar;1016;119
sacar;1016;263
saldo;1016
depositar;1017;785
saldo;1017
depositar;1018;173
sacar;1018;84
sacar;1018;283
saldo;1018
depositar;1019;686
sacar;1019;165
sacar;1019;128
saldo;1019
depositar;2000;348
sacar;2000;192
sacar;2000;282
saldo;2000
depositar;2001;101
sacar;2001;177
saldo;2001
depositar;2002;305
sacar;2002;160
saldo;2002
depositar;2003;815
sacar;2003;83
sacar;2003;287
saldo;2003
depositar;2004;619
sacar;2004;247
saldo;2004
depositar;2005;329
sacar;2005;161
sacar;2005;177
saldo;2005
depositar;2006;461
sacar;2006;287
saldo;2006
depositar;2007;617
sacar;2007;178
sacar;2007;242
saldo;2007
depositar;2008;533
saldo;2008
depositar;2009;886
sacar;2009;279
saldo;2009
depositar;2010;829
saldo;2010
depositar;2011;854
sacar;2011;180
sacar;2011;279
saldo;2011
depositar;2012;726
saldo;2012
depositar;2013;963
sacar;2013;225
sacar;2013;83
saldo;2013
depositar;2014;719
sacar;2014;228
sacar;2014;185
saldo;2014
depositar;2015;137
sacar;2015;176
saldo;2015
depositar;2016;625
sacar;2016;113
sacar;2016;80
saldo;2016
depositar;2017;375
sacar;2017;109
saldo;2017
depositar;2018;484
saldo;2018
depositar;2019;100
sacar;2019;207
sacar;2019;296
saldo;2019
depositar;3000;419
saldo;3000
depositar;3001;144
sacar;3001;280
saldo;3001
depositar;3002;850
sacar;3002;270
sacar;3002;229
saldo;3002
depositar;3003;152
sacar;3003;108
saldo;3003
depositar;3004;207
sacar;3004;151
sacar;3004;266
saldo;3004
depositar;3005;414
saldo;3005
depositar;3006;455
sacar;3006;268
saldo;3006
depositar;3007;470
sacar;3007;228
saldo;3007
depositar;3008;388
sacar;3008;276
saldo;3008
depositar;3009;383
sacar;3009;171
saldo;3009
depositar;3010;159
saldo;3010
depositar;3011;360
saldo;3011
depositar;3012;870
saldo;3012
depositar;3013;844
sacar;3013;185
saldo;3013
depositar;3014;862
sacar;3014;148
saldo;3014
depositar;3015;551
sacar;3015;204
saldo;3015
depositar;3016;253
sacar;3016;297
sacar;3016;129
saldo;3016
depositar;3017;840
saldo;3017
depositar;3018;969
saldo;3018
depositar;3019;316
sacar;3019;289
saldo;3019
