mensagem
criar;1230;cliente1230
criar;2341;cliente2341
criar;3452;cliente3452
criar;4560;cliente4560
criar;5671;cliente5671
criar;6782;cliente6782
criar;7890;cliente7890
criar;8901;cliente8901
criar;9012;cliente9012
criar;1120;cliente1120
criar;2231;cliente2231
criar;3342;cliente3342
criar;4450;cliente4450
criar;5561;cliente5561
criar;6672;cliente6672
criar;7780;cliente7780
criar;8891;cliente8891
criar;9902;cliente9902
criar;1110;cliente1110
criar;2221;cliente2221
criar;3332;cliente3332
criar;4443;cliente4443
criar;5554;cliente5554
criar;6665;cliente6665
criar;7773;cliente7773
criar;8884;cliente8884
criar;9995;cliente9995
criar;1213;cliente1213
criar;2324;cliente2324
criar;3435;cliente3435
criar;4543;cliente4543
criar;5654;cliente5654
criar;6765;cliente6765
criar;7873;cliente7873
criar;8984;cliente8984
criar;9095;cliente9095
criar;1103;cliente1103
criar;2214;cliente2214
criar;3325;cliente3325
criar;4433;cliente4433
criar;5544;cliente5544
criar;6655;cliente6655
criar;7763;cliente7763
criar;8874;cliente8874
criar;9985;cliente9985
criar;1296;cliente1296
criar;2317;cliente2317
criar;3428;cliente3428
criar;4536;cliente4536
criar;5647;cliente5647
criar;6758;cliente6758
criar;7866;cliente7866
criar;8977;cliente8977
criar;9088;cliente9088
criar;1196;cliente1196
criar;2207;cliente2207
criar;3318;cliente3318
criar;4426;cliente4426
criar;5537;cliente5537
criar;6648;cliente6648
